flow_id,src_ip,src_port,dest_ip,dest_port,timestamp,category,signature,severity,proto
928532049924531,0.0.0.0,26078,10.47.8.150,22,2018-03-24T14:37:19.037299-0600,Attempted Information Leak,ET SCAN Potential SSH Scan,2,TCP
430097432426712,10.128.0.210,43407,10.47.3.218,445,2018-03-23T13:59:41.964828-0600,Misc activity,ET SCAN Behavioral Unusual Port 445 traffic Potential Scan or Infection,3,TCP
375755410323519,10.128.0.235,51238,10.47.4.244,139,2018-03-23T14:12:49.669759-0600,Misc activity,ET SCAN Behavioral Unusual Port 139 traffic Potential Scan or Infection,3,TCP
1383219474142309,10.128.0.221,47914,10.47.1.20,137,2018-03-23T14:19:51.660586-0600,Misc activity,ET SCAN Behavioral Unusual Port 137 traffic Potential Scan or Infection,3,TCP
630148470773632,10.128.0.235,50658,10.47.4.255,135,2018-03-23T14:12:49.890754-0600,Misc activity,ET SCAN Behavioral Unusual Port 135 traffic Potential Scan or Infection,3,TCP
2012105690594617,10.128.0.215,53457,10.47.8.55,1434,2018-03-23T14:00:48.081213-0600,Misc activity,ET SCAN Behavioral Unusual Port 1434 traffic Potential Scan or Infection,3,TCP
551475360088085,10.128.0.215,53925,10.47.8.54,1433,2018-03-23T14:00:48.180247-0600,Misc activity,ET SCAN Behavioral Unusual Port 1433 traffic Potential Scan or Infection,3,TCP
530722092898594,10.128.0.215,51621,10.47.8.100,6666,2018-03-23T14:04:34.599296-0600,Misc activity,ET CHAT IRC USER command,3,TCP
530722092898594,10.128.0.215,51621,10.47.8.100,6666,2018-03-23T14:04:34.599296-0600,Misc activity,ET CHAT IRC NICK command,3,TCP
2055715953898027,10.10.17.2,6667,10.47.7.152,50981,2018-03-24T13:47:03.872554-0600,Misc activity,ET CHAT IRC PING command,3,TCP
201913768856509,10.47.42.68,49943,64.135.77.30,80,2018-03-24T14:35:03.195686-0600,A Network Trojan was detected,ET MALWARE Spyware Related User-Agent (UtilMind HTTPGet),1,TCP
773772166540600,10.47.5.154,33627,192.16.10.154,22,2018-03-23T14:10:08.763007-0600,Attempted Information Leak,ET SCAN Potential SSH Scan OUTBOUND,2,TCP
145190131468263,10.47.42.68,49895,66.235.134.197,80,2018-03-24T14:33:58.169183-0600,Potential Corporate Privacy Violation,ET POLICY AOL Toolbar User-Agent (AOLToolbar),1,TCP
32273943329978,10.128.0.244,49652,10.47.1.58,80,2018-03-23T14:00:45.421410-0600,Potential Corporate Privacy Violation,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted,1,TCP
1250118818772660,10.128.0.218,39369,10.47.4.142,445,2018-03-23T15:56:46.233689-0600,Attempted Administrator Privilege Gain,ET NETBIOS Microsoft Windows NETAPI Stack Overflow Inbound - MS08-067 (15),1,TCP
1250118818772660,10.128.0.218,39369,10.47.4.142,445,2018-03-23T15:56:46.233689-0600,Attempted Administrator Privilege Gain,ET NETBIOS Microsoft Windows NETAPI Stack Overflow Inbound - MS08-067 (25),1,TCP
201913768856509,10.47.42.68,49943,64.135.77.30,80,2018-03-24T14:35:03.195686-0600,A Network Trojan was detected,ET TROJAN Suspicious Malformed Double Accept Header,1,TCP
1594227117218106,10.47.5.153,63329,104.27.193.92,80,2018-03-23T15:09:23.303672-0600,Attempted Information Leak,ET POLICY IP Check Domain (whatismyip in HTTP Host),2,TCP
1781998586794302,10.47.1.208,16126,162.220.223.28,80,2018-03-23T14:17:06.584555-0600,Potential Corporate Privacy Violation,ET POLICY TeamViewer Dyngate User-Agent,1,TCP
786547509955165,10.47.8.142,3306,10.128.0.215,55894,2018-03-23T14:00:46.134839-0600,Attempted Information Leak,ET SCAN Non-Allowed Host Tried to Connect to MySQL Server,2,TCP
2090840609590725,10.47.23.81,54020,54.192.86.116,80,2018-03-23T21:19:45.344037-0600,A Network Trojan was detected,ET POLICY User-Agent (Launcher),1,TCP
1022544920320521,10.47.45.68,49862,54.166.207.180,80,2018-03-24T16:01:34.934433-0600,A Network Trojan was detected,ET POLICY User-Agent (NSIS_Inetc (Mozilla)) - Sometimes used by hostile installers,1,TCP
